Genus,Species,Brain mass (g),Body mass (g)
Sylvilagus,floridanus,7.56,1036
Podomys,floridanus,0.94,33.47
Sotalia,fluviatilis,688,42200
Neomys,fodiens,0.32,15.2
Neomys,fodiens,0.29,17.5
Martes,foina,23.4,2300
Chaetodipus,formosus,0.54,20.9
Myotis,fortidens,0.1325,4.35
Onychogalea,fraenata,12.7,2722
Onychogalea,fraenata,16.2,5216
Onychogalea,fraenata,13.5,1433
Trachypithecus,francoisi,86.7,9100
Trachypithecus,francoisi,102.1,9100
Poliocitellus,franklinii,3.82,455.5
Epomops,franqueti,2.213,118.25
Lavia,frons,0.644,23.4
Ailurus,fulgens,46.8,5590
Ailurus,fulgens,41.6,5600
Redunca,fulvorufula,109,31000
Redunca,fulvorufula,132,35000
Hipposideros,fulvus,0.236,7
Eulemur,fulvus,23.3,1400
Eulemur,fulvus,9.5,2000
Sorex,fumeus,0.21,8.9
Eptesicus,furinalis,0.1895,7.6
Ateles,fusciceps,108.8,9163
Ateles,fusciceps,118.4,8890
Elephantulus,fuscipes,1.33,57
Neotoma,fuscipes,2.66,193.3
Rattus,fuscipes,1.75,108.5
Rattus,fuscipes,1.63,135.5
Crocidura,fuscomurina,0.13,5.6
Eptesicus,fuscus,0.21433,11.23
Miniopterus,fuscus,0.265,11.4
Hipposideros,galeritus,0.279,10.4
Epomophorus,gambianus,4.3285,309
Cricetomys,gambianus,6.57,1150
Heliosciurus,gambianus,3.99,295
Platanista,gangetica,295,59000
Myodes,gapperi,0.56,16.9
Oryx,gazella,315,20000
Oryx,gazella,297,190000
Oryx,gazella,261,120000
Oryx,gazella,287,140000
Oryx,gazella,315,200000
Theropithecus,gelada,130,7710
Genetta,genetta,20.3,2700
Inia,geoffrensis,610,62400
Anoura,geoffroyi,0.583,15
Nyctophilus,geoffroyi,0.167,7.2
Ateles,geoffroyi,94.5,2268
Ateles,geoffroyi,107.7,4680
Ateles,geoffroyi,102.9,8912
Ateles,geoffroyi,91,1835
Ateles,geoffroyi,95.5,1920
Ateles,geoffroyi,95,2155
Ateles,geoffroyi,82,2268
Ateles,geoffroyi,107.6,4760
Ateles,geoffroyi,117,7787
Ateles,geoffroyi,107,7630
Ateles,geoffroyi,109,7640
Ateles,geoffroyi,108,8000
Saguinus,geoffroyi,8.85,453
Saguinus,geoffroyi,12.39,567
Saguinus,geoffroyi,12.39,482
Saguinus,geoffroyi,10.62,510
Saguinus,geoffroyi,12.39,510
Saguinus,geoffroyi,10.5,546
Saguinus,geoffroyi,10,546
Saguinus,geoffroyi,24,903
Saguinus,geoffroyi,19.9,793
Gerbillus,gerbillus,3.4,95
Neurotrichus,gibbsii,0.91,10
Pteropus,giganteus,7.5,323
Pteropus,giganteus,6.2,325
Pteropus,giganteus,7.3,380
Pteropus,giganteus,10.01,382
Pteropus,giganteus,6.8,395
Pteropus,giganteus,6.3,405
Pteropus,giganteus,7,414
Pteropus,giganteus,7.78,577
Macroderma,gigas,1.7,120
Heterocephalus,glaber,0.52,60.8
Lama,glama,203.56,37888
Lama,glama,203.89,37958
Lama,glama,208.31,41476
Lama,glama,185.74,41639
Lama,glama,244.12,60131
Lama,glama,262.48,64595
Lama,glama,249.29,65705
Lama,glama,233.61,67484
Lama,glama,268.04,69008
Lama,glama,300.61,72460
Lama,glama,238.12,72494
Lama,glama,267.05,77428
Lama,glama,273.72,81470
Lama,glama,261.46,83176
Lama,glama,250.15,85094
Lama,glama,281.19,85724
Lama,glama,273.72,89536
Lama,glama,273.72,92278
Lama,glama,261.46,93691
Lama,glama,232.70,95324
Lama,glama,293.22,95455
Lama,glama,255.56,95477
Lama,glama,243.61,103181
Lama,glama,243,104300
Lama,glama,257.04,106930
Lama,glama,257.51,107127
Lama,glama,249.75,109597
Lama,glama,200.3,60000
Lama,glama,225,93000
Myodes,glarelus,0.52,17.9
Dermanura,glauca,0.476,12.2
Eumops,glaucinus,0.6565,36.85
Gerbillus,gleadowi,0.69,26.1
Chiropodomys,gliroides,0.7,25.3
Glis,glis,1.9,148
Tupaia,glis,2.02,145
Tupaia,glis,3.15,150
Tupaia,glis,3.2,170
Connochaetes,gnou,305,150000
Choeroniscus,godmani,0.34,6.1
Gorilla,gorilla,490.2,90000
Gorilla,gorilla,379.17,90000
Gorilla,gorilla,574,188250
Gorilla,gorilla,574.2,188250
Gorilla,gorilla,477.1,188250
Gorilla,gorilla,500,105000
